Date,Close,DayNumber,Month_Number,Year,FFT_Mag_Close_900,FFT_Angl_Close_900
2005-03-28,54.04999923706055,0,300,2005,53.64737106518922,0.00020172787132715806
2005-03-29,54.22999954223633,1,300,2005,53.900481831749445,-0.00021843069153808386
2005-03-30,53.9900016784668,2,300,2005,54.770765773150735,-0.0004236708730368136
2005-03-31,55.4000015258789,3,300,2005,55.84817054933996,-0.0002261797983226648
2005-04-01,57.27000045776367,4,400,2005,56.62963564533046,0.00017516558402397566
2005-04-04,57.0099983215332,0,400,2005,56.79374892940784,0.0004061092658327564
2005-04-05,56.040000915527344,1,400,2005,56.337439019768425,0.0002545042041895978
2005-04-06,55.849998474121094,2,400,2005,55.500996845468265,-0.00014386386476816516
2005-04-07,54.11000061035156,3,400,2005,54.56334991568195,-0.00041668585331358236
2005-04-08,53.31999969482422,4,400,2005,53.670545311368365,-0.0002967622968699961
2005-04-11,53.709999084472656,0,400,2005,52.81292005175484,0.00011331313840552183
2005-04-12,51.86000061035156,1,400,2005,51.939766222905924,0.00042782995215497033
2005-04-13,50.22000122070313,2,400,2005,51.098249143042466,0.00034025794020858856
2005-04-14,51.13000106811523,3,400,2005,50.478003031852985,-7.796127330507807e-05
2005-04-15,50.4900016784668,4,400,2005,50.325212800124405,-0.00042772802735750477
2005-04-18,50.36999893188477,0,400,2005,50.788588797906826,-0.0003682671543116758
2005-04-19,52.290000915527344,1,400,2005,51.80230021900909,3.579221141217397e-05
2005-04-20,52.43999862670898,2,400,2005,53.07810408095495,0.0003891210679076394
2005-04-21,54.20000076293945,3,400,2005,54.20715845139121,0.00036652332992115377
2005-04-22,55.38999938964844,4,400,2005,54.81431368192719,4.4191982853732014e-06
2005-04-25,54.56999969482422,0,400,2005,54.693264080261315,-0.0003586076177302068
2005-04-26,54.20000076293945,1,400,2005,53.87340003458223,-0.0003873958588358508
2005-04-27,51.61000061035156,2,400,2005,52.60312100463609,-4.4419627550373553e-05
2005-04-28,51.77000045776367,3,400,2005,51.261327637455175,0.00035919552103102283
2005-04-29,49.72000122070313,4,400,2005,50.22685293726843,0.00043207993880014627
2005-05-02,50.91999816894531,0,500,2005,49.74829278413172,8.868449598037832e-05
2005-05-03,49.5,1,500,2005,49.86122644741058,-0.00034218710543761565
2005-05-04,50.13000106811523,2,500,2005,50.38774183426828,-0.00044368818262809664
2005-05-05,50.83000183105469,3,500,2005,51.02093668640181,-0.00012644140395579918
2005-05-06,50.959999084472656,4,500,2005,51.456433530479345,0.000302616070422082
2005-05-09,52.02999877929688,0,500,2005,51.50825735079155,0.00044319645727926906
2005-05-10,52.06999969482422,1,500,2005,51.15599033576756,0.00016494109384846878
2005-05-11,50.45000076293945,2,500,2005,50.510465388392085,-0.0002762603058089552
2005-05-12,48.540000915527344,3,500,2005,49.73183700813389,-0.00046476579292060825
2005-05-13,48.66999816894531,4,500,2005,48.95632635520277,-0.00021152271810814574
2005-05-16,48.61000061035156,0,500,2005,48.27179214907774,0.00025320291700281077
2005-05-17,48.97000122070313,1,500,2005,47.74081543459075,0.0004861721128624293
2005-05-18,47.25,2,500,2005,47.43424959821587,0.00025695456392581804
2005-05-19,46.91999816894531,3,500,2005,47.434137995997744,-0.00021906694317422727
2005-05-20,46.79999923706055,4,500,2005,47.79522203037515,-0.00048367339853239383
2005-05-23,49.15999984741211,0,500,2005,48.4949059957528,-0.00028708104516917955
2005-05-24,49.66999816894531,1,500,2005,49.418496181431465,0.00017149597314165498
2005-05-25,50.97999954223633,2,500,2005,50.40344014554147,0.000453054177657738
2005-05-26,51.0099983215332,3,500,2005,51.31878145454382,0.0003028478112266327
2005-05-27,51.849998474121094,4,500,2005,52.12168107176889,-0.00012451005944802792
2005-05-31,51.97000122070313,1,500,2005,52.84376561302297,-0.000423270171164396
2005-06-01,54.599998474121094,2,600,2005,53.51424262943087,-0.00031832000497288894
2005-06-02,53.63000106811523,3,600,2005,54.08355924037249,8.230355323339735e-05
2005-06-03,55.02999877929688,4,600,2005,54.42158772730166,0.00039903657802112035
2005-06-06,54.4900016784668,0,600,2005,54.4110096283283,0.00033795357354756946
2005-06-07,53.7599983215332,1,600,2005,54.07462643104432,-4.394867938333965e-05
2005-06-08,52.540000915527344,2,600,2005,53.6310190584502,-0.00038947328925188193
2005-06-09,54.27999877929688,3,600,2005,53.41166362605451,-0.0003668102808238845
2005-06-10,53.540000915527344,4,600,2005,53.67505322860444,5.260123010863531e-06
2005-06-13,55.61999893188477,0,600,2005,54.44303788878629,0.0003653156006392683
2005-06-14,55.0,1,600,2005,55.484898032310035,0.0003719116565442944
2005-06-15,55.56999969482422,2,600,2005,56.47313754741951,3.212393982205382e-05
2005-06-16,56.58000183105469,3,600,2005,57.20292377182321,-0.0003273869073658248
2005-06-17,58.47000122070313,4,600,2005,57.70999289483045,-0.00037273390563070653
2005-06-20,59.36999893188477,0,600,2005,58.193352932569276,-6.694578282178907e-05
2005-06-21,58.9000015258789,1,600,2005,58.801566002823314,0.0002961337283744434
2005-06-22,58.09000015258789,2,600,2005,59.456597593416944,0.00037354597785878974
2005-06-23,59.41999816894531,3,600,2005,59.869753085404795,9.930958185637745e-05
2005-06-24,59.84000015258789,4,600,2005,59.75618808471534,-0.0002670274454448415
2005-06-27,60.540000915527344,0,600,2005,59.09051729575473,-0.0003846247303633542
2005-06-28,58.20000076293945,1,600,2005,58.198487587891115,-0.0001365485507653722
2005-06-29,57.2599983215332,2,600,2005,57.593496726631436,0.0002495009292001779
2005-06-30,56.5,3,600,2005,57.65938872787107,0.00039993391728508144
2005-07-01,58.75,4,700,2005,58.4031787335982,0.0001692252222676255
2005-07-05,59.59000015258789,1,700,2005,59.45512092377676,-0.00021302377455441237
2005-07-06,61.27999877929688,2,700,2005,60.31254326937054,-0.00038472713020427826
2005-07-07,60.72999954223633,3,700,2005,60.64764271735597,-0.00019355970664205457
2005-07-08,59.63000106811523,4,700,2005,60.46262438833802,0.00017957593169165895
2005-07-11,58.91999816894531,0,700,2005,60.002514888347,0.0003859551285144724
2005-07-12,60.61999893188477,1,700,2005,59.52257708240303,0.00022678302434559156
2005-07-13,60.0099983215332,2,700,2005,59.106026469083595,-0.00015161278336824465
2005-07-14,57.79999923706055,3,700,2005,58.66690317222876,-0.0003907405416771044
2005-07-15,58.09000015258789,4,700,2005,58.110325626243664,-0.00026068048986580146
2005-07-18,57.31999969482422,0,700,2005,57.49370230636347,0.00012160696359786951
2005-07-19,57.459999084472656,1,700,2005,57.04036758279467,0.0003944849486917188
2005-07-20,56.72000122070313,2,700,2005,56.989198614618864,0.00029258213915983144
2005-07-21,57.13000106811523,3,700,2005,57.40628047962934,-8.648766389510853e-05
2005-07-22,58.6500015258789,4,700,2005,58.11907749857935,-0.0003767405228144283
2005-07-25,59.0,0,700,2005,58.83320637965423,-0.00030703117388538724
2005-07-26,59.20000076293945,1,700,2005,59.340877424412454,4.8831162625408156e-05
2005-07-27,59.11000061035156,2,700,2005,59.65353798938974,0.0003538972094520111
2005-07-28,59.93999862670898,3,700,2005,59.952975610459575,0.00032201402125131036
2005-07-29,60.56999969482422,4,700,2005,60.40502807382754,-1.3355938964058483e-05
2005-08-01,61.56999969482422,0,800,2005,60.9955914184161,-0.00033042062887804875
2005-08-02,61.88999938964844,1,800,2005,61.53381126831,-0.00033136396897405984
2005-08-03,60.86000061035156,2,800,2005,61.829837083353674,-2.0875708205405608e-05
2005-08-04,61.38000106811523,3,800,2005,61.902551757510395,0.0003074602062589748
2005-08-05,62.31000137329102,4,800,2005,62.031617034471964,0.0003435012675301036
2005-08-08,63.93999862670898,0,800,2005,62.579682196912614,5.3974497278089246e-05
2005-08-09,63.06999969482422,1,800,2005,63.695693787276056,-0.00027875496057967394
2005-08-10,64.90000152587889,2,800,2005,65.12542783389279,-0.00033860438631619664
2005-08-11,65.80000305175781,3,800,2005,66.30102636335782,-8.200603651819864e-05
2005-08-12,66.86000061035156,4,800,2005,66.68376272805072,0.0002449380408668243
2005-08-15,66.26999664306639,0,800,2005,66.13539292036778,0.00034195702388256356
2005-08-16,66.08000183105469,1,800,2005,65.0480650241385,0.00011456226991159829
2005-08-17,63.25,2,800,2005,64.11918806751835,-0.00023047524023259933
2005-08-18,63.27000045776367,3,800,2005,63.91225632538918,-0.0003597816150482876
2005-08-19,65.34999847412111,4,800,2005,64.50953590381238,-0.00014581035308903307
2005-08-22,65.44999694824219,0,800,2005,65.50548466399427,0.00020000890901936255
2005-08-23,65.70999908447266,1,800,2005,66.34220712359175,0.000349485477699241
2005-08-24,67.31999969482422,2,800,2005,66.73140148704569,0.00016908736327859446
2005-08-25,67.48999786376953,3,800,2005,66.8394972128865,-0.00016933799632598028
2005-08-26,66.12999725341797,4,800,2005,67.09472281199942,-0.0003455927558649488
2005-08-29,67.19999694824219,0,800,2005,67.77263987288694,-0.00019282938821079678
2005-08-30,69.80999755859375,1,800,2005,68.69743966061199,0.00013745501906757567
2005-08-31,68.94000244140625,2,800,2005,69.31139598173615,0.0003318339829875609
2005-09-01,69.47000122070311,3,900,2005,69.07383778735195,0.00021349527423098144
2005-09-02,67.56999969482422,4,900,2005,67.8824641185276,-0.00011033813046871454
2005-09-06,65.95999908447266,1,900,2005,66.1828073418941,-0.00034184783438927273
2005-09-07,64.37000274658203,2,900,2005,64.67479919882186,-0.00025210549365152816
2005-09-08,64.48999786376953,3,900,2005,63.84562839108198,8.577039854092147e-05
2005-09-09,64.08000183105469,4,900,2005,63.69400344099094,0.0003464099214521362
2005-09-12,63.33000183105469,0,900,2005,63.8486191972933,0.0002776823525349889
2005-09-13,63.11000061035156,1,900,2005,63.95561868975919,-5.3433608842977866e-05
