,0
452,44.4539
453,44.48783
454,44.648766
455,44.46098
456,43.885563
457,43.901814
458,43.670322
459,43.650894
460,43.403694
461,43.33055
462,43.027077
463,43.50863
464,43.655384
465,43.31244
466,43.681835
467,43.745483
468,43.978447
469,43.98529
470,43.773216
471,43.997314
472,43.920486
473,44.086857
474,44.403114
475,44.73341
476,44.761284
477,44.525738
478,44.178413
479,43.414387
480,43.47409
481,43.80405
482,44.05665
483,44.276814
484,43.94272
485,44.20293
486,43.972946
487,44.091866
488,44.002544
489,44.165474
490,43.75364
491,44.244904
492,44.32375
493,43.80538
494,44.251892
495,44.532196
496,45.09762
497,45.525436
498,45.045097
499,45.468178
500,45.544224
501,45.731396
502,45.572502
503,45.634323
504,45.233433
505,45.76718
506,45.827778
507,45.30059
508,45.82433
509,45.90795
510,46.336353
511,46.07964
512,45.388073
513,45.391987
514,45.17459
515,45.242825
516,45.040977
517,45.07746
518,44.776405
519,45.239384
520,45.185673
521,44.508247
522,44.737564
523,44.748722
524,44.817646
525,44.950542
526,44.48823
527,44.638477
528,44.505882
529,44.559723
530,44.3518
531,44.291733
532,43.933846
533,44.40837
534,44.417614
535,43.773125
536,44.110374
537,44.515137
538,44.95567
539,45.290165
540,44.82302
541,45.052387
542,44.938683
543,45.050774
544,44.941563
545,45.064236
546,44.79567
547,45.394814
548,45.54932
549,45.104786
550,45.628033
551,45.821606
552,46.294376
553,46.686695
554,46.52197
555,46.596836
556,46.594864
557,46.566677
558,47.03529
559,46.848114
560,47.54933
561,47.332687
562,46.664883
563,47.51136
564,48.082592
565,48.67883
566,49.283737
567,48.67846
568,49.023685
569,48.821762
570,49.12351
571,49.03117
572,49.35466
573,49.16558
574,49.832592
575,49.72939
576,49.064823
577,49.54178
578,49.32048
579,49.559532
580,49.34841
581,48.77688
582,48.649986
583,48.180958
584,48.20152
585,47.91384
586,47.944294
587,47.574078
588,48.05261
589,47.779232
590,46.903492
591,47.27244
592,47.478657
593,47.635017
594,47.83242
595,47.129757
596,47.265244
597,46.95052
598,47.046734
599,46.807804
600,46.914448
601,46.758972
602,47.19461
603,47.107735
604,46.373104
605,46.967384
606,47.193974
607,47.517635
608,47.74399
609,47.240814
610,47.370792
611,47.09159
612,47.19723
613,47.100876
614,47.292927
615,47.13953
616,47.748352
617,47.805676
618,47.492043
619,47.821068
620,47.653008
621,47.806026
622,47.804016
623,47.718143
624,47.45903
625,47.405094
626,47.2679
627,47.256325
628,46.937954
629,47.41222
630,47.46345
631,46.997032
632,47.41984
633,47.44578
634,48.00359
635,48.052334
636,47.568607
637,47.738018
638,47.563114
639,47.68106
640,47.49751
641,47.54533
642,47.451523
643,47.964092
644,47.96672
645,47.657265
646,47.87521
647,47.683777
648,47.83409
649,47.799374
650,47.557713
651,47.66982
652,47.49208
653,47.55769
