,0
1329,36.45
1330,36.46
1331,36.3
1332,36.47
1333,36.55
1334,36.33
1335,36.9
1336,37.04
1337,37.17
1338,37.57
1339,37.47
1340,37.69
1341,37.44
1342,37.49
1343,37.44
1344,37.44
1345,37.55
1346,37.4
1347,37.58
1348,37.83
1349,38.12
1350,38.42
1351,38.12
1352,38.12
1353,38.37
1354,37.87
1355,37.87
1356,38.06
1357,38.03
1358,38.15
1359,38.28
1360,38.35
1361,38.76
1362,39.0
1363,39.47
1364,39.64
1365,39.65
1366,39.5
1367,39.43
1368,39.43
1369,39.55
1370,39.54
1371,39.48
1372,39.19
1373,39.3
1374,39.19
1375,38.84
1376,39.72
1377,39.87
1378,39.74
1379,39.76
1380,39.63
1381,39.58
1382,39.19
1383,39.19
1384,39.2
1385,39.23
1386,39.43
1387,39.49
1388,39.6
1389,39.73
1390,39.67
1391,39.71
1392,39.59
1393,39.23
1394,39.44
1395,39.54
1396,38.82
1397,38.7
1398,38.31
1399,38.43
1400,38.56
1401,38.1
1402,38.73
1403,39.62
1404,39.23
1405,39.06
1406,39.75
1407,39.74
1408,39.93
1409,39.92
1410,39.77
1411,39.49
1412,39.44
1413,39.51
1414,39.51
1415,39.55
1416,39.18
1417,39.18
1418,38.89
1419,39.24
1420,39.12
1421,39.12
1422,39.09
1423,39.21
1424,39.15
1425,39.2
1426,39.02
1427,39.04
1428,38.89
1429,38.99
1430,38.83
1431,38.93
1432,39.18
1433,39.08
1434,39.35
1435,39.22
1436,39.28
1437,39.27
1438,39.34
1439,39.39
1440,39.49
1441,39.49
1442,39.49
1443,39.49
1444,39.41
1445,39.79
1446,39.75
1447,39.75
1448,39.41
1449,39.23
1450,39.37
1451,39.79
1452,39.74
1453,39.49
1454,39.58
1455,39.57
1456,39.67
1457,39.54
1458,39.67
1459,39.8
1460,40.01
1461,40.22
1462,40.15
1463,40.39
1464,40.45
1465,40.81
1466,40.74
1467,40.8
1468,40.81
1469,40.39
1470,40.52
1471,40.58
1472,40.71
1473,41.34
1474,41.06
1475,41.2
1476,41.39
1477,41.36
1478,41.32
1479,41.58
1480,41.29
1481,41.23
1482,41.26
1483,41.33
1484,41.24
1485,41.24
1486,41.13
1487,40.9
1488,40.92
1489,40.68
1490,40.56
1491,40.99
1492,40.85
1493,40.49
1494,40.49
1495,40.47
1496,40.36
1497,40.36
1498,40.63
1499,40.81
1500,41.09
1501,41.1
1502,41.13
1503,41.16
1504,41.1
1505,41.05
1506,40.92
1507,40.89
1508,40.82
1509,40.59
1510,40.83
1511,40.63
1512,40.67
1513,40.92
1514,41.22
1515,41.06
1516,41.32
1517,41.03
1518,40.99
1519,40.97
1520,40.95
1521,40.24
1522,40.99
1523,41.0
1524,41.0
1525,41.0
1526,41.03
1527,40.88
1528,40.89
1529,41.0
1530,41.02
1531,41.07
1532,41.04
1533,41.03
1534,40.95
1535,40.83
1536,40.74
1537,40.76
1538,40.76
1539,40.84
1540,40.54
1541,41.61
1542,41.64
1543,41.61
1544,42.1
1545,42.29
1546,42.12
1547,42.52
1548,42.44
