Current,Forcast,Real,Dates
[86.91999816894531],[81.84901],[85.58999633789062],2022-11-15
[85.58999633789062],[81.00369],[81.63999938964844],2022-11-16
[81.63999938964844],[77.63875],[80.08000183105469],2022-11-17
[80.08000183105469],[76.48932],[79.7300033569336],2022-11-18
[79.7300033569336],[76.29903],[80.94999694824219],2022-11-21
[80.94999694824219],[75.72729],[77.94000244140625],2022-11-22
[77.94000244140625],[73.82258],[76.27999877929688],2022-11-23
[76.27999877929688],[72.43109],[77.23999786376953],2022-11-25
[77.23999786376953],[72.61577],[78.19999694824219],2022-11-28
[78.19999694824219],[73.29249],[80.55000305175781],2022-11-29
[80.55000305175781],[74.7689],[81.22000122070312],2022-11-30
[81.22000122070312],[75.12695],[79.9800033569336],2022-12-01
[79.9800033569336],[74.36242],[76.93000030517578],2022-12-02
[76.93000030517578],[72.52547],[74.25],2022-12-05
[74.25],[70.03747],[72.01000213623047],2022-12-06
[72.01000213623047],[68.624016],[71.45999908447266],2022-12-07
[71.45999908447266],[67.31867],[71.0199966430664],2022-12-08
[71.0199966430664],[66.89981],[73.16999816894531],2022-12-09
[73.16999816894531],[68.05593],[75.38999938964844],2022-12-12
[75.38999938964844],[69.68854],[77.27999877929688],2022-12-13
[77.27999877929688],[70.86021],[76.11000061035156],2022-12-14
[76.11000061035156],[70.214645],[74.29000091552734],2022-12-15
[74.29000091552734],[69.299385],[75.19000244140625],2022-12-16
[75.19000244140625],[69.80519],[76.08999633789062],2022-12-19
[76.08999633789062],[70.91952],[78.29000091552734],2022-12-20
[78.29000091552734],[71.99107],[77.48999786376953],2022-12-21
[77.48999786376953],[71.93493],[79.55999755859375],2022-12-22
[79.55999755859375],[73.668465],[79.52999877929688],2022-12-23
[79.52999877929688],[73.87369],[78.95999908447266],2022-12-27
[78.95999908447266],[72.98458],[78.4000015258789],2022-12-28
[78.4000015258789],[73.75448],[80.26000213623047],2022-12-29
[80.26000213623047],[74.48977],[76.93000030517578],2022-12-30
[76.93000030517578],[73.14416],[72.83999633789062],2023-01-03
[72.83999633789062],[69.56212],[73.66999816894531],2023-01-04
[73.66999816894531],[70.11724],[73.7699966430664],2023-01-05
[73.7699966430664],[69.678955],[74.62999725341797],2023-01-06
