Current,Forcast,Real,Dates
[3.1375936645521705],[-0.41061392],[3.4641791746627604],2022-11-08
[3.4641791746627604],[-0.40844285],[-0.7456592986077197],2022-11-09
[-0.7456592986077197],[-0.4063486],[-2.879608914789003],2022-11-10
[-2.879608914789003],[-0.40488413],[3.473467142188808],2022-11-11
[3.473467142188808],[-0.40468445],[-1.2227732488398857],2022-11-14
[-1.2227732488398857],[-0.40337616],[1.5301447987488217],2022-11-15
[1.5301447987488217],[-0.40195012],[4.6150217516641305],2022-11-16
[4.6150217516641305],[-0.40064695],[1.9108250493097785],2022-11-17
[1.9108250493097785],[-0.3997176],[0.4370610216262065],2022-11-18
[0.4370610216262065],[-0.39860132],[-1.53015620210995],2022-11-21
[-1.53015620210995],[-0.39721882],[3.718338011501672],2022-11-22
[3.718338011501672],[-0.3952935],[2.1298481012459973],2022-11-23
[2.1298481012459973],[-0.39351672],[-1.258520057466498],2022-11-25
[-1.258520057466498],[-0.39220333],[-1.2428781862032563],2022-11-28
[-1.2428781862032563],[-0.39055708],[-3.0051230117962997],2022-11-29
[-3.0051230117962997],[-0.38906446],[-0.8317791974691886],2022-11-30
[-0.8317791974691886],[-0.38693437],[1.5267149041281414],2022-12-01
[1.5267149041281414],[-0.38544175],[3.8134570189329793],2022-12-02
[3.8134570189329793],[-0.36031052],[3.4836868510911363],2022-12-05
[3.4836868510911363],[-0.32907313],[3.0168321397569438],2022-12-06
[3.0168321397569438],[-0.3184149],[0.7637870232489377],2022-12-07
[0.7637870232489377],[-0.3213566],[0.6157325035592578],2022-12-08
[0.6157325035592578],[-0.3332284],[-3.0273185405575584],2022-12-09
[-3.0273185405575584],[-0.34620878],[-3.034032084539988],2022-12-12
[-3.034032084539988],[-0.35748914],[-2.5069629990048132],2022-12-13
[-2.5069629990048132],[-0.3676891],[1.5139728098168064],2022-12-14
[1.5139728098168064],[-0.37402055],[2.3912753649047858],2022-12-15
[2.3912753649047858],[-0.3782398],[-1.2114706081404734],2022-12-16
[-1.2114706081404734],[-0.39032412],[-1.1969595255509091],2022-12-19
[-1.1969595255509091],[-0.3965173],[-2.89131907414901],2022-12-20
[-2.89131907414901],[-0.39842212],[1.0218457560384877],2022-12-21
[1.0218457560384877],[-0.39789727],[-2.671312107226228],2022-12-22
[-2.671312107226228],[-0.39607438],[0.03770585748796407],2022-12-23
[0.03770585748796407],[-0.39474818],[0.7167103024935528],2022-12-27
[0.7167103024935528],[-0.39268464],[0.7092167744260678],2022-12-28
[0.7092167744260678],[-0.39039066],[-2.3724497119271035],2022-12-29
[-2.3724497119271035],[-0.38846794],[4.149017869950285],2022-12-30
[4.149017869950285],[-0.39702424],[5.316526648980116],2023-01-03
[5.316526648980116],[-0.40504545],[-1.1394863712025372],2023-01-04
[-1.1394863712025372],[-0.41154075],[-0.1357383963710248],2023-01-05
[-0.1357383963710248],[-0.4170222],[-1.1657864301019885],2023-01-06
[-1.1657864301019885],[-0.4315848],[-0.6565798086527792],2023-01-09
[-0.6565798086527792],[-0.44172332],[-3.04845691134048],2023-01-10
[-3.04845691134048],[-0.4465391],[-1.2659807275254735],2023-01-11
[-1.2659807275254735],[-0.44814438],[-1.8752407604907404],2023-01-12
[-1.8752407604907404],[-0.44795236],[1.2647159134876769],2023-01-13
[1.2647159134876769],[-0.4544886],[-1.6867493427932059],2023-01-16
[-1.6867493427932059],[-0.4569618],[0.87303186028673],2023-01-17
[0.87303186028673],[-0.45721015],[-1.069449469326102],2023-01-18
[-1.069449469326102],[-0.45575592],[-1.2199622870669629],2023-01-19
[-1.2199622870669629],[-0.45319313],[-0.3812633099206408],2023-01-20
[-0.3812633099206408],[-0.4517722],[1.8255396263466253],2023-01-23
[1.8255396263466253],[-0.44964465],[-0.024964773676046548],2023-01-24
[-0.024964773676046548],[-0.4471382],[-1.072988888308231],2023-01-25
[-1.072988888308231],[-0.4450593],[1.641774837652875],2023-01-26
[1.641774837652875],[-0.44374844],[2.2339342024089457],2023-01-27
[2.2339342024089457],[-0.4077516],[-1.2451876786945633],2023-01-30
[-1.2451876786945633],[-0.37715685],[3.1190554061179654],2023-01-31
[3.1190554061179654],[-0.3681653],[0.6936348426773122],2023-02-01
[0.6936348426773122],[-0.371829],[3.281494404188805],2023-02-02
[3.281494404188805],[-0.38376224],[-0.9810617613994452],2023-02-03
[-0.9810617613994452],[-0.3064458],[-4.088515388399074],2023-02-06
[-4.088515388399074],[-0.2413161],[-1.7241403183536477],2023-02-07
[-1.7241403183536477],[-0.1926077],[0.5224973311217411],2023-02-08
[0.5224973311217411],[-0.16977812],[-2.126574063576328],2023-02-09
[-2.126574063576328],[-0.18393108],[-0.526841648913873],2023-02-10
[-0.526841648913873],[-0.06809854],[1.3476439222361591],2023-02-13
[1.3476439222361591],[0.09022103],[1.062479589969726],2023-02-14
[1.3476439222361591],[0.2185398],[1.062479589969726],2023-02-15
