Current,Forcast,Real,Dates
[81.30999755859375],[79.898796],[81.62000274658203],2023-01-20
[81.62000274658203],[80.26211],[80.12999725341797],2023-01-23
[80.12999725341797],[79.44854],[80.1500015258789],2023-01-24
[80.1500015258789],[79.04811],[81.01000213623047],2023-01-25
[81.01000213623047],[79.78171],[79.68000030517578],2023-01-26
[79.68000030517578],[79.23216],[77.9000015258789],2023-01-27
[77.9000015258789],[77.68073],[78.87000274658203],2023-01-30
[78.87000274658203],[77.448494],[76.41000366210938],2023-01-31
[76.41000366210938],[75.95924],[75.87999725341797],2023-02-01
[75.87999725341797],[75.41864],[73.38999938964844],2023-02-02
[73.38999938964844],[73.81962],[74.11000061035156],2023-02-03
[74.11000061035156],[73.190674],[77.13999938964844],2023-02-06
[77.13999938964844],[74.90126],[78.47000122070312],2023-02-07
[78.47000122070312],[77.05935],[78.05999755859375],2023-02-08
[78.05999755859375],[77.893364],[79.72000122070312],2023-02-09
[79.72000122070312],[78.85917],[80.13999938964844],2023-02-10
[80.13999938964844],[78.99118],[79.05999755859375],2023-02-13
[79.05999755859375],[78.06217],[78.58999633789062],2023-02-14
[78.58999633789062],[77.33563],[78.48999786376953],2023-02-15
[78.48999786376953],[77.36916],[76.33000183105469],2023-02-16
[78.48999786376953],[75.95464],[76.33000183105469],2023-02-17
